t,x,y,s,d,yaw, speed
1017,1961.76,1175.73,1191.82,1.76071,25.9648,45.8708
1018,1962.49,1176.09,1192.63,1.81611,26.1801,45.71
1019,1963.59,1176.63,1193.85,1.89334,26.5208,45.4646
1020,1964.31,1176.99,1194.66,1.9395,26.7848,44.9701
1021,1965.02,1177.36,1195.46,1.98321,27.001,44.7568
1022,1965.73,1177.72,1196.26,2.02233,27.3034,44.7651
1023,1966.44,1178.09,1197.06,2.05715,27.6187,44.5242
1024,1967.14,1178.46,1197.85,2.08724,27.9532,44.2791
1025,1967.84,1178.83,1198.63,2.11319,28.2577,44.1375
1026,1968.87,1179.38,1199.81,2.14659,28.5038,43.5807
1027,1969.56,1179.76,1200.59,2.16344,28.837,43.4094
1028,1970.23,1180.13,1201.36,2.17773,29.084,43.2062
1029,1970.9,1180.51,1202.13,2.18734,29.3881,42.9731
1030,1971.57,1180.89,1202.9,2.19325,29.6438,42.8246
1031,1972.24,1181.27,1203.66,2.19571,29.9623,42.6772
1032,1973.22,1181.84,1204.8,2.19154,30.3491,42.3606
1033,1973.87,1182.22,1205.55,2.185,30.6184,42.0663
1034,1974.52,1182.6,1206.31,2.17466,30.8729,41.9341
1035,1975.15,1182.99,1207.05,2.16133,31.0673,41.6413
1036,1975.79,1183.37,1207.79,2.14609,31.2311,41.4543
1037,1976.74,1183.95,1208.9,2.11912,31.5569,41.1744
1038,1977.36,1184.33,1209.63,2.09775,31.709,40.9765
1039,1977.98,1184.71,1210.36,2.07453,31.8235,40.779
1040,1978.6,1185.1,1211.09,2.04871,32.2653,40.5589
1041,1979.21,1185.48,1211.81,2.01876,32.3707,40.3741
1042,1980.11,1186.06,1212.88,1.96975,32.7644,40.145
1043,1980.41,1186.26,1213.24,1.95221,32.9,39.8907
1044,1981.31,1186.84,1214.31,1.8941,33.1545,39.7666
1045,1981.9,1187.22,1215.01,1.85459,33.1571,39.5125
1046,1982.48,1187.61,1215.71,1.81481,33.3582,39.1785
1047,1983.07,1187.99,1216.41,1.77254,33.465,38.996
1048,1983.64,1188.38,1217.1,1.72872,33.809,38.7229
1049,1984.22,1188.76,1217.52,1.72855,33.9107,38.5186
1050,1984.79,1189.14,1218.2,1.78839,34.0623,38.2801
1051,1985.35,1189.53,1218.88,1.84355,34.3748,38.0665
1052,1986.19,1190.1,1219.89,1.92207,34.7528,37.7852
1053,1986.74,1190.49,1220.57,1.96981,34.883,37.6056
1054,1987.29,1190.87,1221.23,2.01507,35.2523,37.326
1055,1987.83,1191.25,1221.89,2.05643,35.467,37.1475
1056,1988.37,1191.64,1222.56,2.09375,35.7878,36.9333
1057,1988.9,1192.02,1223.21,2.12937,35.9742,36.6922
1058,1989.43,1192.41,1223.87,2.16039,36.3017,36.4805
1059,1989.95,1192.8,1224.52,2.18973,36.494,36.2398
1060,1990.47,1193.18,1225.16,2.21447,36.8284,36.0307
1061,1990.99,1193.57,1225.81,2.23662,37.1138,36.0091
1062,1991.5,1193.95,1226.44,2.25562,37.3251,35.8349
1063,1992,1194.34,1227.08,2.27138,37.6683,35.5722
1064,1992.5,1194.73,1227.71,2.2841,37.8763,35.391
1065,1993,1195.12,1228.34,2.29368,38.2192,35.122
1066,1993.49,1195.5,1228.97,2.30002,38.5349,34.9589
1067,1993.97,1195.89,1229.59,2.30248,38.7859,34.6941
1068,1994.45,1196.28,1230.2,2.30253,39.0565,34.5219
1069,1994.93,1196.67,1230.82,2.29993,39.2801,34.3437
1070,1995.4,1197.06,1231.43,2.29493,39.4981,34.0104
1071,1995.87,1197.44,1232.04,2.28757,39.6618,33.8418
1072,1996.33,1197.83,1232.64,2.2792,39.8425,33.5934
1073,1996.79,1198.21,1233.24,2.2683,40.0706,33.4258
1074,1997.25,1198.6,1233.84,2.25595,40.2397,33.1795
1075,1997.7,1198.98,1234.43,2.24029,40.5629,32.9278
1076,1998.14,1199.36,1235.02,2.22226,40.7373,32.753
1077,1998.59,1199.74,1235.6,2.20223,41.0693,32.7507
1078,1999.03,1200.13,1236.18,2.17991,41.1762,32.4949
1079,1999.46,1200.51,1236.76,2.15583,41.4399,32.3203
1080,1999.89,1200.89,1237.33,2.13004,41.5601,32.0843
1081,2000.53,1201.45,1238.18,2.08937,41.7305,31.6023
1082,2000.95,1201.83,1238.74,2.0612,41.9296,31.3666
1083,2001.36,1202.2,1239.3,2.0305,42.1313,31.2041
1084,2001.78,1202.58,1239.86,1.99879,42.243,30.9689
1085,2002.18,1202.95,1240.41,1.96617,42.3744,30.7237
1086,2002.59,1203.32,1240.96,1.93323,42.4386,30.5694
1087,2002.99,1203.68,1241.5,1.89938,42.6313,30.3252
1088,2003.38,1204.05,1242.04,1.86228,42.9252,30.0835
1089,2003.78,1204.41,1242.57,1.82428,42.985,29.8299
1090,2004.17,1204.78,1243.1,1.78742,42.9683,29.5918
1091,2004.55,1205.14,1243.63,1.7488,43.1025,29.432
1092,2004.93,1205.49,1244.15,1.71076,43.0865,29.1233
1093,2005.13,1205.67,1244.41,1.6921,43.0284,29.1931
1094,2005.51,1206.03,1244.64,1.68859,43.4077,29.3524
1095,2005.89,1206.4,1245.17,1.73903,43.5788,29.5813
1096,2006.28,1206.76,1245.7,1.78848,43.7473,29.8303
1097,2006.67,1207.14,1246.23,1.83674,43.8293,30.0602
1098,2007.06,1207.51,1246.77,1.88383,44.2199,30.2119
1099,2007.45,1207.89,1247.32,1.92836,44.3619,30.4522
1100,2007.84,1208.28,1247.86,1.97173,44.5108,30.6925
1101,2008.43,1208.86,1248.69,2.03464,44.827,31.1643
1102,2008.83,1209.25,1249.25,2.07364,45.102,31.3184
1103,2009.22,1209.65,1249.81,2.11109,45.3815,31.5598
1104,2009.62,1210.06,1250.38,2.14444,45.7448,31.7931
1105,2010.02,1210.47,1250.94,2.1745,46.0244,32.0377
1106,2010.41,1210.88,1251.52,2.20264,46.3644,32.0408
1107,2010.81,1211.3,1252.09,2.22758,46.6489,32.199
1108,2011.01,1211.51,1252.38,2.23901,46.7774,32.4427
1109,2011.41,1211.93,1252.97,2.26004,47.043,32.7664
1110,2011.81,1212.37,1253.55,2.2786,47.3058,32.9164
1111,2012.21,1212.8,1254.14,2.29453,47.5615,33.0963
1112,2012.61,1213.24,1254.74,2.30799,47.8167,33.4118
1113,2013.01,1213.68,1255.34,2.3188,48.0605,33.5737
1114,2013.21,1213.91,1255.64,2.3232,48.262,33.6559
1115,2013.61,1214.36,1256.24,2.32955,48.4388,33.828
1116,2014.02,1214.82,1256.85,2.3339,48.6813,34.0017
1117,2014.22,1215.05,1257.16,2.3352,48.8023,34.2379
1118,2014.62,1215.51,1257.77,2.33581,49.1076,34.5667
1119,2015.03,1215.98,1258.39,2.33175,49.5174,34.7433
1120,2015.43,1216.45,1259.02,2.3246,49.7494,34.9095
1121,2015.63,1216.69,1259.33,2.32007,49.8684,35.1572
1122,2016.04,1217.18,1259.96,2.30909,50.1617,35.4781
1123,2016.44,1217.67,1260.6,2.29391,50.4418,35.5864
1124,2016.85,1218.16,1261.24,2.27645,50.6579,35.9278
1125,2017.06,1218.41,1261.56,2.26663,50.7766,35.8499
1126,2017.46,1218.91,1262.2,2.24451,51.1045,36.1041
1127,2017.87,1219.42,1262.85,2.2191,51.334,36.2848
1128,2018.07,1219.67,1263.18,2.20545,51.4276,36.5236
1129,2018.48,1220.18,1263.83,2.17538,51.8475,36.4732
1130,2018.88,1220.7,1264.49,2.1413,51.9827,36.8091
1131,2019.29,1221.22,1265.15,2.10539,52.1906,36.9812
1132,2019.5,1221.49,1265.48,2.08652,52.3517,37.2208
1133,2019.9,1222.02,1266.15,2.04533,52.6133,37.491
1134,2020.31,1222.55,1266.82,2.00157,52.7974,37.6838
1135,2020.72,1223.09,1267.49,1.95599,53.0117,37.9155
1136,2020.92,1223.36,1267.83,1.9311,53.2323,37.8712
1137,2021.33,1223.91,1268.51,1.87968,53.37,38.3601
1138,2021.74,1224.46,1269.2,1.82554,53.5757,38.5492
1139,2022.15,1225.02,1269.89,1.76902,53.7502,38.8778
1140,2022.56,1225.58,1270.58,1.70985,54.007,39.065
1141,2022.77,1225.86,1270.93,1.67857,54.1396,39.0781
1142,2023.18,1226.43,1271.63,1.6142,54.3259,39.2552
1143,2023.59,1227.01,1272.34,1.54737,54.4852,39.7677
1144,2024.01,1227.59,1272.78,1.5609,54.6466,39.9455
1145,2024.21,1227.88,1273.14,1.58698,54.7506,40.0345
1146,2024.63,1228.47,1273.86,1.63779,54.8846,40.3651
1147,2025.04,1229.06,1274.58,1.68728,55.0044,40.7071
1148,2025.46,1229.66,1275.31,1.73529,55.1151,40.9052
1149,2025.88,1230.26,1276.04,1.78335,55.1589,41.0494
1150,2026.3,1230.87,1276.78,1.82953,55.4776,41.3376
1151,2026.72,1231.48,1277.52,1.87224,55.5915,41.5098
1152,2026.93,1231.79,1277.89,1.8935,55.7238,41.7595
1153,2027.35,1232.41,1278.64,1.93214,56.0169,41.9689
1154,2027.77,1233.03,1279.39,1.96836,56.1928,42.1652
1155,2028.19,1233.66,1280.15,2.00216,56.4434,42.4377
1156,2028.62,1234.3,1280.91,2.03319,56.6298,42.8623
1157,2029.04,1234.94,1281.68,2.06298,56.7898,43.1048
1158,2029.46,1235.59,1282.45,2.08844,57.0976,43.3422
1159,2029.88,1236.24,1283.23,2.11137,57.2159,43.5256
1160,2030.3,1236.9,1284.01,2.13238,57.5122,43.8014
1161,2030.73,1237.57,1284.8,2.14989,57.6096,43.9971
1162,2030.94,1237.9,1285.19,2.15853,57.7453,44.2474
1163,2031.36,1238.57,1285.98,2.17161,58.0545,44.4778
1164,2031.99,1239.59,1287.18,2.18696,58.2807,44.9063
1165,2032.2,1239.93,1287.59,2.19016,58.4616,44.7958
1166,2032.62,1240.62,1288.39,2.19446,58.6353,45.0823
1167,2033.05,1241.31,1289.2,2.19617,58.918,45.3739
1168,2033.47,1242.01,1290.02,2.19418,59.1108,45.7974
1169,2033.89,1242.72,1290.84,2.1883,59.3553,46.0345
1170,2034.31,1243.43,1291.67,2.18123,59.4903,46.2851
1171,2034.73,1244.14,1292.49,2.16973,59.7673,46.5168
1172,2035.15,1244.87,1293.33,2.15564,59.8484,46.7055
1173,2035.57,1245.59,1294.17,2.14023,59.9935,46.9063
1174,2035.99,1246.32,1295.01,2.1223,60.2463,47.197
1175,2036.2,1246.69,1295.44,2.11154,60.2863,47.3917
1176,2036.62,1247.43,1296.29,2.09051,60.3566,47.6424
1177,2037.04,1248.17,1297.14,2.0674,60.4657,47.8322
1178,2037.46,1248.91,1297.99,2.04331,60.5418,48.088
1179,2037.89,1249.67,1298.86,2.01702,60.6801,48.2715
1180,2038.31,1250.42,1299.72,1.98959,60.6871,48.5221
1181,2038.74,1251.18,1300.59,1.96091,60.7607,48.7244
1182,2038.95,1251.57,1301.03,1.94639,60.8898,48.9684
1183,2039.38,1252.33,1301.91,1.91311,61.0934,49.2135
1184,2039.8,1253.1,1302.79,1.87791,61.1988,49.4167
1185,2040.23,1253.88,1303.67,1.8422,61.277,49.1607
1186,2040.65,1254.64,1304.38,1.84413,61.4395,48.9533
1187,2041.07,1255.41,1305.25,1.88396,61.5831,48.7343
1188,2041.27,1255.8,1305.68,1.90295,61.6585,48.7008
1189,2041.68,1256.56,1306.55,1.94001,61.743,48.2902
1190,2042.09,1257.32,1307.41,1.97473,61.8532,48.0906
1191,2042.49,1258.08,1308.27,2.00817,61.991,48.0271
1192,2042.9,1258.83,1309.12,2.03968,62.0792,47.6287
1193,2043.1,1259.2,1309.55,2.05452,62.1647,47.5776
1194,2043.49,1259.95,1310.39,2.08285,62.2751,47.2824
1195,2043.88,1260.7,1311.24,2.10928,62.424,47.2252
1196,2044.27,1261.44,1312.08,2.13358,62.4813,46.9183
1197,2044.46,1261.82,1312.49,2.14565,62.573,46.6741
1198,2044.85,1262.56,1313.33,2.16699,62.7533,46.4702
1199,2045.04,1262.92,1313.74,2.17643,62.8984,46.5235
1200,2045.41,1263.66,1314.57,2.19332,62.9941,46.2233
1201,2045.79,1264.39,1315.39,2.20844,63.1516,46.0269
1202,2045.97,1264.76,1315.8,2.21544,63.2387,45.7643
1203,2046.34,1265.49,1316.62,2.22693,63.3679,45.5683
1204,2046.7,1266.21,1317.43,2.23687,63.4949,45.2568
1205,2046.88,1266.58,1317.83,2.24119,63.6189,45.1286
1206,2047.24,1267.3,1318.64,2.24621,63.8765,44.867
1207,2047.59,1268.02,1319.44,2.24856,64.0354,44.6606
1208,2047.76,1268.38,1319.84,2.24918,64.0716,44.6669
1209,2048.11,1269.09,1320.63,2.24884,64.2367,44.4792
1210,2048.45,1269.81,1321.42,2.24588,64.4301,44.2743
1211,2048.62,1270.16,1321.82,2.24397,64.4317,44.0295
1212,2048.96,1270.87,1322.6,2.23836,64.6403,43.8252
1213,2049.29,1271.57,1323.38,2.23014,64.8384,43.6331
1214,2049.46,1271.92,1323.77,2.22537,64.9075,43.3766
1215,2049.78,1272.62,1324.54,2.21337,65.0905,43.1735
1216,2050.11,1273.32,1325.31,2.1996,65.2272,42.8834
1217,2050.27,1273.67,1325.69,2.19218,65.3253,42.994
1218,2050.59,1274.36,1326.46,2.17511,65.5226,42.4488
1219,2050.9,1275.05,1327.21,2.15543,65.7267,42.2464
1220,2051.21,1275.74,1327.97,2.13309,65.906,42.057
1221,2051.36,1276.08,1328.34,2.12103,66.0287,42.0123
1222,2051.66,1276.77,1329.09,2.09626,66.0399,41.7559
1223,2051.97,1277.44,1329.83,2.07105,66.1549,41.3552
1224,2052.11,1277.78,1330.2,2.05744,66.2841,41.3124
1225,2052.41,1278.46,1330.94,2.02931,66.3103,41.1685
1226,2052.7,1279.13,1331.67,2.00059,66.516,40.8683
1227,2052.99,1279.79,1332.39,1.96961,66.6554,40.4573
1228,2053.28,1280.46,1333.11,1.93662,66.8178,40.2938
1229,2053.42,1280.79,1333.47,1.91971,66.896,40.0267
1230,2053.7,1281.44,1334.18,1.88389,67.0383,39.8406
1231,2053.97,1282.1,1334.89,1.84808,67.0764,39.595
1232,2054.25,1282.74,1335.59,1.81154,67.1173,39.3531
1233,2054.52,1283.39,1336.29,1.77463,67.2024,39.1975
1234,2054.66,1283.71,1336.64,1.75591,67.222,38.9538
1235,2054.92,1284.35,1337.19,1.75266,67.2606,38.7101
1236,2055.19,1284.98,1337.87,1.77283,67.266,38.4538
1237,2055.45,1285.61,1338.55,1.79201,67.3455,38.044
1238,2055.71,1286.23,1339.23,1.81104,67.4025,37.8109
1239,2055.84,1286.55,1339.57,1.82005,67.4344,37.8004
1240,2056.1,1287.16,1340.24,1.83772,67.4781,37.311
1241,2056.36,1287.78,1340.9,1.85408,67.634,37.1578
1242,2056.61,1288.39,1341.57,1.86824,67.7824,36.86
1243,2056.86,1289,1342.22,1.88143,67.8072,36.6164
1244,2056.98,1289.3,1342.55,1.88766,67.8542,36.474
1245,2057.22,1289.9,1343.2,1.89969,67.9147,36.2202
1246,2057.47,1290.5,1343.84,1.91105,68.0063,36.0756
1247,2057.7,1291.09,1344.48,1.92176,68.0045,35.7309
1248,2057.94,1291.68,1345.12,1.9321,67.9457,35.4747
1249,2058.18,1292.27,1345.75,1.94311,67.9434,35.1198
1250,2058.3,1292.56,1346.06,1.94873,67.959,35.13
1251,2058.53,1293.14,1346.68,1.95915,68.003,34.8636
1252,2058.76,1293.71,1347.3,1.96863,68.0854,34.478
1253,2058.99,1294.28,1347.91,1.97775,68.1482,34.2219
1254,2059.22,1294.84,1348.53,1.98609,68.1775,33.9785
1255,2059.33,1295.13,1348.83,1.99018,68.1946,33.9785
1256,2059.56,1295.69,1349.43,1.99736,68.315,33.8264
1257,2059.78,1296.24,1350.03,2.00383,68.3683,33.3498
1258,2060,1296.8,1350.62,2.0097,68.3958,33.0938
1259,2060.21,1297.34,1351.21,2.01497,68.4674,32.8404
1260,2060.43,1297.89,1351.8,2.01935,68.5271,32.6988
1261,2060.64,1298.43,1352.38,2.0237,68.5885,32.4528
1262,2060.85,1298.97,1352.96,2.02694,68.6502,32.1868
1263,2061.06,1299.5,1353.53,2.03027,68.5342,32.0852
1264,2061.27,1300.03,1354.1,2.03419,68.6138,31.8419
1265,2061.47,1300.55,1354.66,2.03769,68.6316,31.4843
1266,2061.68,1301.07,1355.22,2.04002,68.7057,31.0995
1267,2061.88,1301.59,1355.78,2.04198,68.6671,30.8337
1268,2062.08,1302.1,1356.33,2.04562,68.6135,30.6401
1269,2062.28,1302.61,1356.87,2.04861,68.6549,30.3969
1270,2062.47,1303.11,1357.41,2.05123,68.6497,30.1409
1271,2062.67,1303.61,1357.95,2.0536,68.6873,29.8878
1272,2062.86,1304.11,1358.48,2.05546,68.8916,29.7464
1273,2063.05,1304.6,1359.01,2.05582,68.932,29.4906
1274,2063.24,1305.09,1359.53,2.05632,68.8164,29.3887
1275,2063.52,1305.82,1360.31,2.05751,68.9367,28.8897
1276,2063.71,1306.29,1360.82,2.0574,68.9416,28.6466
1277,2063.89,1306.78,1361.34,2.05676,69.092,28.8505
1278,2064.08,1307.26,1361.86,2.05448,69.2797,29.0578
1279,2064.26,1307.75,1362.38,2.05189,69.2113,29.3105
1280,2064.45,1308.25,1362.91,2.04989,69.2015,29.7965
1281,2064.64,1308.75,1363.45,2.04702,69.2326,30.0231
1282,2064.93,1309.5,1364.26,2.04323,69.2881,30.2564
1283,2065.02,1309.76,1364.53,2.04142,69.2453,30.3714
1284,2065.32,1310.52,1365.35,2.03812,69.24,30.6143
1285,2065.51,1311.04,1365.9,2.03552,69.1945,30.8573
1286,2065.71,1311.56,1366.45,2.03239,69.3415,31.0744
1287,2065.81,1311.82,1366.73,2.03069,69.323,31.327
1288,2066.01,1312.35,1367.3,2.02723,69.3354,31.57
1289,2066.21,1312.88,1367.84,2.02726,69.4214,31.7871
1290,2066.41,1313.41,1368.41,2.02825,69.323,32.0428
1291,2066.61,1313.94,1368.99,2.03065,69.3014,32.1709
1292,2066.81,1314.49,1369.57,2.03194,69.2952,32.388
1293,2066.92,1314.76,1369.86,2.03344,69.1878,32.4266
1294,2067.12,1315.3,1370.44,2.03686,69.1452,32.6696
1295,2067.33,1315.85,1371.03,2.04013,69.2509,32.7845
1296,2067.54,1316.4,1371.62,2.04294,69.1749,33.0275
1297,2067.65,1316.68,1371.91,2.04475,69.1696,33.2705
1298,2067.86,1317.24,1372.51,2.04844,69.2369,33.5135
1299,2068.08,1317.81,1373.12,2.0501,69.3766,33.8454
1300,2068.29,1318.37,1373.72,2.05096,69.3987,34.0594
1301,2068.4,1318.66,1374.03,2.05159,69.4202,33.9348
1302,2068.61,1319.23,1374.64,2.05287,69.4459,34.2002
1303,2068.83,1319.8,1375.25,2.05221,69.5775,34.4973
1304,2068.93,1320.09,1375.56,2.05161,69.6447,34.3791
1305,2069.15,1320.67,1376.18,2.05011,69.566,34.5996
1306,2069.37,1321.26,1376.8,2.04921,69.5625,34.9704
1307,2069.48,1321.55,1377.12,2.0493,69.6247,35.1077
1308,2069.7,1322.14,1377.75,2.04727,69.748,35.3124
1309,2069.91,1322.74,1378.38,2.04344,69.8775,35.6453
1310,2070.02,1323.04,1378.7,2.04097,69.8434,35.4829
1311,2070.24,1323.63,1379.34,2.03851,69.7041,35.7856
1312,2070.36,1323.94,1379.66,2.03738,69.683,36.0189
1313,2070.58,1324.54,1380.3,2.03465,69.8244,35.9905
1314,2070.8,1325.15,1380.95,2.03029,69.9268,36.2084
1315,2070.91,1325.45,1381.28,2.02801,69.9052,36.4383
1316,2071.14,1326.07,1381.93,2.02338,69.8684,36.6844
1317,2071.37,1326.69,1382.59,2.01871,69.9649,36.8989
1318,2071.48,1327,1382.92,2.01612,70.0263,37.1544
1319,2071.71,1327.63,1383.59,2.00935,70.1444,37.3597
1320,2071.93,1328.26,1384.26,2.00117,70.1793,37.5651
1321,2072.05,1328.57,1384.59,1.99717,70.1611,37.5779
1322,2072.28,1329.21,1385.27,1.98872,70.2766,37.7835
1323,2072.39,1329.53,1385.61,1.98423,70.2331,38.0388
1324,2072.62,1330.17,1386.29,1.97483,70.3469,38.2445
1325,2072.74,1330.5,1386.64,1.96988,70.405,38.487
1326,2072.97,1331.15,1387.33,1.95834,70.5136,38.6927
1327,2073.2,1331.8,1388.02,1.94539,70.5075,38.9115
1328,2073.32,1332.13,1388.37,1.93949,70.5642,39.163
1329,2073.55,1332.79,1389.07,1.92558,70.6888,39.3598
1330,2073.67,1333.12,1389.42,1.91781,70.7445,39.3366
1331,2073.9,1333.79,1390.13,1.90181,70.8332,39.5429
1332,2074.14,1334.47,1390.85,1.88573,70.8614,40.0402
1333,2074.25,1334.81,1391.2,1.87677,70.8941,40.0043
1334,2074.49,1335.48,1391.92,1.85955,70.8707,40.2465
1335,2074.61,1335.83,1392.28,1.85101,70.8113,40.5016
1336,2074.85,1336.52,1393.01,1.83371,70.912,40.708
1337,2075.09,1337.21,1393.74,1.815,71.018,40.9274
1338,2075.21,1337.56,1394.11,1.80551,70.9734,41.1784
1339,2075.45,1338.26,1394.85,1.78584,71.057,41.385
1340,2075.57,1338.61,1395.22,1.77585,71.1236,41.64
1341,2075.81,1339.31,1395.97,1.75409,71.1304,41.8466
1342,2075.93,1339.67,1396.35,1.74342,71.1815,42.0798
1343,2076.17,1340.38,1397.1,1.72085,71.1703,42.3083
1344,2076.42,1341.1,1397.86,1.69817,71.2588,42.4029
1345,2076.54,1341.46,1398.24,1.68654,71.2193,42.7571
1346,2076.79,1342.19,1399.01,1.66416,71.1359,42.9086
1347,2077.04,1342.92,1399.78,1.64118,71.324,43.2189
1348,2077.16,1343.29,1400.16,1.62867,71.3049,43.3352
1349,2077.41,1344.02,1400.94,1.6045,71.2841,43.5643
1350,2077.66,1344.77,1401.63,1.58983,71.4912,43.8877
1351,2077.79,1345.14,1402.03,1.59915,71.4465,44.1077
1352,2078.04,1345.89,1402.82,1.62062,71.364,44.2809
1353,2078.3,1346.64,1403.61,1.64216,71.3043,44.5228
1354,2078.55,1347.4,1404.41,1.66311,71.3915,44.9497
1355,2078.68,1347.78,1404.82,1.67411,71.3565,44.9846
1356,2078.94,1348.55,1405.62,1.69455,71.4262,45.4116
1357,2079.2,1349.32,1406.44,1.7157,71.4267,45.6535
1358,2079.33,1349.71,1406.85,1.7264,71.4083,45.5587
1359,2079.59,1350.49,1407.67,1.74734,71.4766,46.0205
1360,2079.85,1351.27,1408.49,1.76684,71.6291,46.3312
1361,2080.11,1352.06,1409.33,1.78483,71.6157,46.4478
1362,2080.25,1352.46,1409.74,1.79415,71.6738,46.7932
1363,2080.51,1353.25,1410.58,1.81132,71.7465,47.0135
1364,2080.77,1354.05,1411.42,1.82769,71.8244,47.0957
1365,2081.04,1354.86,1412.28,1.84217,71.9704,47.6491
1366,2081.3,1355.67,1413.13,1.8553,72.0409,47.8568
1367,2081.43,1356.08,1413.56,1.86165,72.0966,47.8698
1368,2081.7,1356.9,1414.42,1.87241,72.1416,48.2856
1369,2081.96,1357.72,1415.28,1.88408,72.2166,48.527
1370,2082.23,1358.56,1416.15,1.89373,72.2212,48.748
1371,2082.5,1359.39,1417.03,1.90375,72.2796,49.1974
1372,2082.63,1359.81,1417.47,1.90844,72.3183,49.2104
1373,2082.9,1360.65,1418.36,1.91646,72.3742,49.4102
1374,2083.17,1361.49,1419.24,1.92468,72.4386,49.4185
1375,2083.43,1362.34,1420.12,1.93046,72.5742,49.4896
1376,2083.7,1363.18,1421.01,1.93443,72.6384,49.4569
1377,2083.96,1364.03,1421.89,1.93718,72.7949,49.4163
1378,2084.22,1364.87,1422.77,1.93803,72.881,49.2796
1379,2084.48,1365.7,1423.65,1.93751,72.9621,48.7848
1380,2084.61,1366.12,1424.08,1.93698,72.9858,48.7848
1381,2084.86,1366.95,1424.95,1.93546,73.0158,48.5388
1382,2085.11,1367.78,1425.82,1.93299,73.0772,48.29
1383,2085.36,1368.6,1426.67,1.92952,73.1046,47.7954
1384,2085.61,1369.41,1427.53,1.92691,73.1043,47.5864
1385,2085.73,1369.82,1427.95,1.92507,73.1481,47.6829
1386,2085.98,1370.63,1428.8,1.92078,73.2071,47.2094
1387,2086.22,1371.44,1429.64,1.91558,73.2049,46.9478
1388,2086.47,1372.24,1430.48,1.91179,73.1891,46.7465
1389,2086.59,1372.64,1430.9,1.90952,73.2145,46.7255
1390,2086.82,1373.43,1431.7,1.9154,73.2437,46.2442
1391,2087.06,1374.22,1432.52,1.92341,73.2304,46.035
1392,2087.3,1375.01,1433.35,1.9304,73.2936,45.8859
1393,2087.42,1375.4,1433.76,1.93387,73.3197,45.7813
1394,2087.65,1376.18,1434.57,1.94093,73.2243,45.58
1395,2087.89,1376.96,1435.38,1.94728,73.3371,45.1823
1396,2088.12,1377.73,1436.19,1.95284,73.3855,44.9417
1397,2088.35,1378.5,1436.99,1.9577,73.395,44.7012
1398,2088.46,1378.88,1437.39,1.96058,73.3524,44.8371
1399,2088.69,1379.65,1438.18,1.9659,73.404,44.5834
1400,2088.92,1380.4,1438.97,1.97098,73.4158,44.1335
1401,2089.14,1381.16,1439.76,1.97512,73.5058,43.8721
1402,2089.25,1381.53,1440.15,1.97651,73.5851,43.8488
1403,2089.47,1382.28,1440.93,1.9792,73.5185,43.6316
1404,2089.69,1383.03,1441.71,1.98325,73.4365,43.43
1405,2089.91,1383.77,1442.48,1.9882,73.3511,43.2076
1406,2090.13,1384.5,1443.25,1.99334,73.4019,42.9539
1407,2090.24,1384.87,1443.63,1.99541,73.3627,42.7056
1408,2090.46,1385.6,1444.39,2.00126,73.3719,42.4962
1409,2090.68,1386.32,1445.15,2.00693,73.287,42.287
1410,2090.9,1387.04,1445.9,2.01373,73.2163,42.0648
1411,2091.11,1387.76,1446.65,2.02072,73.2525,41.8189
1412,2091.33,1388.47,1447.39,2.02764,73.1629,41.6019
1413,2091.54,1389.17,1448.13,2.03458,73.1916,41.1205
1414,2091.65,1389.53,1448.5,2.03872,73.1447,41.139
1415,2091.86,1390.23,1449.23,2.04734,73.0374,40.9511
1416,2092.07,1390.92,1449.96,2.05689,72.9659,40.7212
1417,2092.28,1391.61,1450.68,2.0662,73.0464,40.2264
1418,2092.49,1392.3,1451.4,2.07481,73.0498,39.9726
1419,2092.7,1392.98,1452.11,2.08419,73.0333,39.7767
1420,2092.81,1393.32,1452.47,2.08859,73.0597,39.8681
1421,2093.01,1394,1453.17,2.09648,73.0697,39.3865
1422,2093.22,1394.67,1453.87,2.10554,72.9766,39.1645
1423,2093.42,1395.34,1454.57,2.11573,72.8957,38.8301
1424,2093.52,1395.67,1454.92,2.12141,72.832,38.9877
1425,2093.73,1396.33,1455.61,2.13229,72.909,38.7337
1426,2093.93,1396.98,1456.3,2.14153,73.0186,38.2439
1427,2094.03,1397.31,1456.64,2.14607,73.0461,38.2519
1428,2094.23,1397.96,1457.32,2.15511,72.9498,38.0431
1429,2094.33,1398.29,1457.66,2.15961,72.9773,37.7811
1430,2094.52,1398.93,1458.33,2.16848,73.067,37.5272
1431,2094.72,1399.57,1459,2.17685,73.0106,37.4228
1432,2094.82,1399.88,1459.33,2.18115,73.0217,37.0775
1433,2095.01,1400.52,1459.99,2.18904,73.1019,36.9412
1434,2095.11,1400.83,1460.32,2.19298,73.1307,36.8236
1435,2095.3,1401.46,1460.98,2.20071,72.9858,36.6277
1436,2095.49,1402.08,1461.59,2.21263,73.0419,36.2694
1437,2095.58,1402.39,1461.92,2.22111,73.0711,36.12
1438,2095.77,1403.01,1462.56,2.23766,73.2659,35.9838
1439,2095.95,1403.62,1463.2,2.25312,73.1406,35.7747
1440,2096.04,1403.92,1463.52,2.26105,73.0895,35.5209
1441,2096.23,1404.53,1464.15,2.27834,73.0679,35.3118
1442,2096.32,1404.83,1464.46,2.28679,73.0978,35.3118
1443,2096.5,1405.43,1465.09,2.30265,73.1863,35.0632
